Protein_Accession,Gene_Name,Protein_Descriptions,Protein_Name,Number_Unique_Peptides,NR_1.Post_1,NR_1.Pre_2,NR_2.Post_3,NR_2.Pre_4,R_16.Post_5,R_16.Pre_6,R_17.Post_7.,R_17.Pre_8,NR_3.Post_9,NR_3.Pre_10,R_18.Post_11,R_18.Pre_12,R_19.Post_13,R_19.Pre_14,R_20.Post_15,R_20.Pre_16,R_21.Post_17,R_21.Pre_18,R_22.Post_19,R_22.Pre_20,NR_5.Post_21,NR_5.Pre_22,R_23.Post_23,R_23.Pre_24,R_24.Post_25,R_24.Pre_26,NR_6.Post_27,NR_6.Pre_28,R_25.Post_29,R_25.Pre_30,NR_7.Post_31,NR_7.Pre_32,NR_8.Post_33,NR_8.Pre_34,R_29.Post_35,R_29.Pre_36,NR_12.Post_37,NR_12.Pre_38,R_30.Post_39,R_30.Pre_40,NR_13.Post_41,NR_13.Pre_42,NR_14.Post_43,NR_14.Pre_44,NR_15.Post_45,NR_15.Pre_46,R_26.Post_47,R_26.Pre_48,R_28.Post_49,R_28.Pre_50,NR_10.Post_51,NR_10.Pre_52,NR_11.Post_53,NR_11.Pre_54
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,PUR2_HUMAN,7,4953.597168,5678.471191,1210.456421,2683.175049,2765.749268,11123.08301,10943.98145,11104.80371,7043.0625,11111.93652,4565.406738,3222.92041,8358.220703,2828.61792,7598.330566,7952.946289,8935.630859,7936.954102,4965.895508,12785.67871,3439.683838,6049.971191,6591.744141,10239.41113,2673.721924,2462.154297,9477.582031,11947.32617,4372.894531,11805.38965,1324.172607,1972.625854,10070.7627,4063.401855,3467.16333,3215.752441,2380.365967,3743.994873,5931.628418,8360.450195,4706.218262,5211.418945,4407.541016,7661.904297,9256.550781,11268.93359,3179.61377,8151.724609,10636.01855,2986.939941,5867.073242,17023.23633,2673.174316,5035.395508
P09543,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",CN37_HUMAN,18,3780.52124,5093.001953,1048.437866,1990.343872,4401.137695,7448.405273,12434.89551,9158.885742,8929.912109,12196.16406,5301.074219,4089.374512,9532.147461,2473.130615,7158.772461,5683.879883,6364.316895,11824.44141,6598.41748,8883.780273,2165.319336,4478.521973,6371.615234,9543.249023,1642.130493,1736.796387,12016.30371,7343.623047,4865.761719,13829.50879,3351.570313,3355.687988,5760.646484,2199.272217,5805.412109,6682.761719,5101.015625,8216.401367,5596.662598,7254.072754,5528.030273,5513.380859,3078.315674,7388.470215,8447.40625,11077.47168,5172.378906,7322.442871,6125.841797,2150.749756,8363.800781,18215.07227,3238.236816,5127.265137
Q14240,EIF4A2,Eukaryotic initiation factor 4A-II,IF4A2_HUMAN,2,3116.3396,5705.374023,3145.727051,698.2110596,1275.324463,53713.64844,48161.46484,8046.199219,7412.350098,13184.43457,6715.024902,2658.868164,5877.827637,2500.94873,1596.219482,3058.278809,19657.85938,2518.910156,6502.894531,46747.25391,6300.888184,4432.964355,8544.166992,6321.353027,1894.986938,5907.446289,20816.26172,3841.428223,7616.764648,11272.62988,720.965271,679.4569702,2140.943115,383.1767578,7806.800781,1923.178711,805.5186768,7538.131348,2070.276367,1128.080566,1715.333984,2151.770752,315.6484375,2367.241455,2596.536133,2278.098145,539.718689,2108.759521,8630.393555,587.9700317,1084.071411,2090.19458,490.035553,1974.811279
P52630,STAT2,Signal transducer and activator of transcription 2,STAT2_HUMAN,2,7107.003906,16425.24219,2380.594482,4794.827637,9564.303711,12927.95605,15223.46875,6724.940918,10447.21777,18294.48633,36135.92578,8710.424805,6222.320801,5295.041504,1928.074341,4878.07373,22390.18359,3457.088867,3700.216309,11890.87402,7719.452637,12657.46484,4906.47998,6620.296875,5813.046875,4062.995605,6155.60498,3533.937988,2491.778076,13892.02441,6267.213379,5289.390137,18873.05859,2754.081299,2576.479004,5207.643066,1180.388794,1273.639893,3617.264893,1999.19043,458.3421631,2042.538452,2361.171387,1731.776611,1367.392822,1825.799194,3075.270264,546.2803345,2702.427734,2533.900391,1961.43689,9104.087891,1086.318359,691.9108276
Q92747,ARPC1A,Actin-related protein 2/3 complex subunit 1A,ARC1A_HUMAN,8,8891.342773,5612.346191,2505.915771,2652.870117,1377.949463,11513.87988,17308.52344,10035.18848,3070.458496,8997.256836,1149.107422,4916.031738,6949.161133,2326.83252,2995.524414,4536.033203,5143.858398,11571.56152,7099.257324,8807.441406,2173.34082,11116.69043,6852.408691,8462.258789,12542.56055,8325.436523,9160.374023,6494.285645,5004.57959,9140.818359,1362.039307,2034.509155,4430.024902,2190.526611,3838.919434,1486.771851,2585.281982,1894.312744,6450.899414,7626.845703,5764.865234,6643.38623,5304.908691,4459.659668,5341.240234,8950.646484,5861.283691,7531.830078,25524.6875,2112.992676,9680.505859,18042.50391,2965.240723,3088.878662
Q9UPM9,B9D1,B9 domain-containing protein 1,B9D1_HUMAN,4,3345.566406,9790.487305,1328.903076,1306.67395,8274.998047,4234.200195,19338.4375,8893.865234,9804.948242,12650.53125,971.425293,3055.106689,8160.354492,781.8946533,11224.23047,5371.79541,11121.28516,15725.17676,13170.33691,11633.83496,1562.876221,1446.746338,7478.821289,6617.509277,1017.657593,743.1467285,13056.15332,7611.51123,4289.900391,11346.98926,1446.809814,1748.115967,4735.885742,1874.431152,6100.266113,2591.492188,5278.426758,16989.10156,8836.211914,6920.694336,2906.939209,1516.127441,2256.729736,4646.556641,6932.704102,7487.093262,6897.82666,9988.483398,4302.710449,1208.281128,9065.923828,17768.15625,2861.150879,4349.986816
Q6WKZ4,RAB11FIP1,Rab11 family-interacting protein 1,RFIP1_HUMAN,6,4900.484375,6746.827148,1095.338989,1991.037842,5642.276367,7549.019531,11828.04883,7415.671387,7229.324219,10759.01367,2854.998535,4522.736816,7396.713867,4547.087402,8018.066895,6392.708008,7929.424805,9920.270508,4603.585938,8133.439941,3444.702881,11891.39258,3596.024902,8032.191406,2697.582031,2987.715332,6442.128906,5612.534668,4995.842773,18086.72266,3779.877197,4250.15918,7641.705566,1923.3927,3098.30127,5627.507813,3485.365234,3519.518066,6846.170898,9899.504883,4331.006348,4360.39209,4217.95166,4553.510742,12286.72656,10631.84082,5553.64502,7627.624023,11518.86328,1994.328125,4953.679688,20171.10938,2081.456787,2754.795898
P48163,ME1,NADP-dependent malic enzyme,MAOX_HUMAN,2,8109.026367,1191.228027,7949.051758,3693.372314,7347.086426,11902.25488,8074.985352,9517.335938,18318.47461,8241.138672,275.7689209,22040.63672,7935.042969,5884.473633,4507.534668,7392.771973,4228.665527,6992.365723,4909.212891,9848.71875,2229.167969,9734.841797,8095.414551,9440.066406,13624.84473,9761.879883,5103.634766,10731.65918,1034.609131,5537.664063,373.1608887,334.171814,2023.581543,3706.028076,2894.811035,969.2338257,1748.864624,1804.295166,7085.72998,18801.74805,5097.463379,5663.406738,13687.27539,9422.949219,8046.692871,5826.160645,2732.563232,7890.900879,7257.898438,2717.670898,5249.131348,10373.30273,463.5798035,3432.300781
Q969V4,TEKT1,Tektin-1,TEKT1_HUMAN,7,6680.240234,12130.49316,2227.935791,1916.627319,13230.31152,23362.47852,16859.32617,20885.85547,19441.79688,15202.43652,1449.079468,3012.959717,14103.12891,3028.72168,6044.349609,10310.74902,5472.024902,13747.9248,3740.518555,7900.157227,1068.717773,2709.641846,6533.175781,6565.140625,2007.008911,1050.862915,7503.89209,8928.419922,2906.361816,4678.152832,1721.99231,1218.335571,2181.502686,1214.253174,3419.992432,2352.490479,1522.85498,5732.373535,7078.008789,6602.539551,3931.043701,2717.49585,2321.654541,5567.124512,9757.433594,11660.42773,5629.737793,6905.27002,1912.714844,1287.099243,9049.384766,10214.91113,1281.441772,2650.514893
P10619,CTSA,Lysosomal protective protein,PPGB_HUMAN,4,3978.252686,6473.263672,1474.394287,3368.669434,4688.204102,8133.58252,8025.286621,8464.049805,7611.970703,10014.39063,2459.825195,4636.15332,8349.010742,4860.679688,6000.076172,4579.954102,6505.130859,8789.387695,6811.987793,8365.749023,4374.566895,6730.942383,6640.246094,9319.607422,2733.340576,2066.217041,9238.924805,5355.072266,4522.338867,19015.98047,5407.054688,5674.552246,7331.106934,4111.138672,5751.351074,5327.524414,4919.568848,9426.469727,5929.559082,5381.029297,5819.510254,7195.232422,1402.635254,5242.832031,8376.771484,9242.337891,2946.813721,6577.435547,5049.885254,4863.95459,7326.231445,19280.45117,2239.770996,5412.271484
Q2TAA2,IAH1,Isoamyl acetate-hydrolyzing esterase 1 homolog,IAH1_HUMAN,2,4214.697266,12109.25781,4176.208496,5968.050781,10631.0752,15205.55469,15655.67871,12184.25586,9183.430664,9041.443359,5980.678711,5911.977051,14294.44922,7893.109375,4096.441406,9785.121094,4799.081055,13126.37891,5038.609863,4629.423828,6480.813965,8200.457031,9276.080078,10411.20508,2869.264404,1733.915039,4655.666504,10736.22656,5714.672363,4029.188477,240.2770691,409.3595276,9781.449219,5636.973633,5993.664551,7263.393066,792.7611694,2880.321289,6411.677246,7295.960449,4959.320801,7326.823242,2497.330811,6120.188477,9546.157227,6865.313477,3164.649658,7238.237793,1738.268433,3565.078613,5073.703613,3207.184814,2491.811035,4684.645996
P16442,ABO,Histo-blood group ABO system transferase,BGAT_HUMAN,2,1320.303467,1963.023193,4334.158691,822.423645,12824.14355,16846.42578,24673.80664,25336.79102,13206.09766,14563.20215,1051.260376,1135.27356,2666.439697,1032.410034,11862.34082,13523.84473,1736.84375,1191.954224,6083.279785,6471.130371,2613.289551,2711.168213,20692.78125,30565.10742,944.7802734,875.4416504,19496.54102,10280.22656,6194.537109,18640.01563,788.5592651,756.1804199,1203.220093,689.5336304,591.2827148,1031.669922,1230.491699,957.6271973,879.1550293,904.8518066,18544.97461,8017.323242,1355.267578,3676.609619,16235.52148,27539.05078,857.5181274,1805.779907,947.4012451,720.935791,838.4186401,1889.122192,1713.890137,1258.339355
Q13151,HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0,ROA0_HUMAN,2,17308.58594,1578.625977,453.065033,27148.5293,3562.844482,21139.24219,8261.427734,20275.625,6264.628418,15893.64551,6610.924316,968.210083,5106.805176,1330.960205,4128.554688,6874.568848,9158.188477,35831.76953,3937.424072,23738.10156,658.9343262,6469.170898,1814.161011,11305.59766,3901.674316,384.0770569,6937.759766,7712.68457,4497.464844,5818.021973,421.4972534,329.8434448,13955.14063,765.6697388,2188.664307,2317.98999,359.7382202,2194.017822,4180.516602,6002.408691,4847.650391,2215.19458,753.2381592,3706.826172,4890.174805,4414.220215,485.8078003,8513.959961,7105.547363,320.2625427,2451.99292,18690.07813,814.4613037,2765.518066
P06730,EIF4E,Eukaryotic translation initiation factor 4E,IF4E_HUMAN,5,4768.714355,4411.120605,2272.000488,1526.459106,3688.6521,13513.60938,9593.883789,10327.62793,5538.508301,11177.15137,5931.86377,3197.243408,7149.747559,2416.02832,4215.510254,4785.197754,8705.421875,5899.609863,6776.166016,11385.125,4449.273438,10293.51953,6561.72998,7918.483887,6251.869629,5204.095215,7362.747559,6863.211914,6357.0625,8336.841797,1097.774414,1415.458374,10634.28125,2587.17749,4206.819824,4358.567383,1603.924072,6280.937012,3811.157959,5498.719238,4224.198242,7673.996582,5124.187012,6227.396484,5472.432129,9071.136719,2889.320068,4844.286133,18151.65039,4775.67334,6333.25293,18683.77734,2779.424561,3655.140869
P19256,CD58,Lymphocyte function-associated antigen 3,LFA3_HUMAN,2,3129.535156,11260.6875,1920.758545,3446.845215,9939.100586,6506.193848,15558.92578,6429.046875,13134.38574,12841.86719,3553.15332,2958.872314,9391.181641,2844.869873,7764.66748,4922.301758,4810.159668,8898.533203,5181,12456.45996,2888.444336,4310.976074,7094.128906,9488.503906,1794.494385,1351.670776,12781.79688,9624.098633,4157.286621,11493.28711,2700.491943,2972.227051,4929.05127,903.1374512,5077.039063,3785.111572,3518.523438,3255.338623,8137.693359,9593.007813,6987.990234,4650.740723,3691.981445,8197.323242,9337.369141,6631.23877,7114.498047,11340.86523,6553.112793,1962.100708,5727.657227,10533.36426,4144.782227,3931.799561
Q9NQ38,SPINK5,Serine protease inhibitor Kazal-type 5,ISK5_HUMAN,9,9857.367188,1605.466553,9177.391602,2257.54248,9810.351563,9386.811523,6865.495605,4955.800293,3259.501709,4693.252441,605.7732544,11761.9707,6821.157715,8600.754883,4020.062744,1834.57019,795.0598145,2093.831543,2976.571533,789.5056152,13369.27832,10788.25,4906.641602,1236.653198,16945.77734,24209.54102,8394.588867,2476.260254,12801.15527,13335.66309,559.3219604,905.7130127,6035.295898,7791.748535,5761.036621,648.7766113,1893.07251,4169.882324,2202.730713,1657.448364,2425.578613,12243.46289,7741.705078,5024.970215,5218.949219,1831.236206,3172.101318,2667.390381,6372.024902,9301.429688,15658.20703,15565.21387,3064.896484,1448.170898
P55884,EIF3B,Eukaryotic translation initiation factor 3 subunit B,EIF3B_HUMAN,4,6331.458496,4902.694824,1448.817261,2989.252197,5697.084473,13730.96582,10608.37207,9843.481445,4773.28125,13014.91406,9362.185547,3663.673584,8240.795898,2025.664063,6098.188477,9452.775391,8759.267578,5503.527832,5957.800781,11056.13184,3830.293457,11860.70215,4843.438477,9274.973633,3502.772705,2291.032959,7320.008789,7142.444824,5711.664551,18853.72656,1348.342773,1389.695557,13876.58301,1727.733643,4004.184082,3158.174316,1559.359741,3588.51709,3350.682861,5246.978027,3866.176758,5459.647461,5029.491211,7612.84082,3706.454346,7954.336426,1507.773926,5845.61084,14840.05176,3056.406738,4284.20752,14695.41602,2100.004639,3951.759766
O00244,ATOX1,Copper transport protein ATOX1,ATOX1_HUMAN,2,3132.282227,3218.61499,1101.212402,2430.855713,12538.08496,15273.81934,8901.90625,8389.24707,13293.7666,26468.41016,3900.759521,5507.837402,13155.18457,3983.19043,11986.37988,14388.53125,7784.424316,4743.925293,4059.091064,10023.6875,5399.154785,8584.637695,4478.830566,9051.796875,346.6729126,2686.078369,5702.344238,5058.536621,3055.69873,6593.053223,788.8305054,1460.96936,4675.75293,2688.311768,7432.002441,1234.638428,3609.780273,9290.708008,2171.470459,6143.711914,2308.330078,7119.21875,1944.176514,4272.497559,12150.4834,7785.939941,167.5357208,5911.523438,3178.084229,3719.147217,4101.929688,7359.647461,645.2730103,5958.140137
Q13126,MTAP,S-methyl-5'-thioadenosine phosphorylase,MTAP_HUMAN,5,1517.019409,4015.340088,1270.663696,1502.504761,2418.959717,9839.419922,9529.707031,9327.584961,6023.951172,12467.4502,6491.805176,4375.70459,6884.50293,2728.740967,8109.038574,5282.108398,8606.458008,4514.984375,4319.978516,14174.69043,4758.019531,5907.40918,6030.090332,9829.792969,2769.522949,2860.888428,8136.72998,7829.052734,3506.207031,12412.6748,3180.878174,2736.311768,7625.691406,2088.39624,7355.481445,7613.828613,3114.510254,5416.29541,4079.125488,6058.123047,4684.21582,4239.026855,2719.739502,6387.189453,4952.517578,10985.43262,4198.20459,8137.177246,8204.958984,4442.81543,7232.267578,23198.17578,3719.996094,5070.005859
Q7L9L4;Q9H8S9,MOB1B;MOB1A,MOB kinase activator 1B;MOB kinase activator 1A,MOB1B_HUMAN;MOB1A_HUMAN,4,3799.116943,6687.651855,746.8515015,3213.895752,3304.149658,10771.51758,11881.27344,17635.07227,7234.61377,12923.87012,4837.272461,2121.354736,10673.94629,3464.219727,7995.105957,5336.111816,12892.48145,10496.1123,5786.572266,11898.90234,4849.127441,3943.098877,8286.150391,9602.060547,888.2755127,1576.178345,9746.84082,7810.608398,6288.663574,9652.722656,1591.334961,1959.236084,7357.400391,1205.124878,5916.79248,2435.64917,1870.231079,3000.845703,7025.325684,5475.467285,3456.315186,3232.636719,2698.050781,7255.197266,8247.583008,13285.3623,4544.121094,5600.76123,7581.003418,3374.951172,7054.589844,15538.19141,2830.010742,4606.520508
Q99417,MYCBP,c-Myc-binding protein,MYCBP_HUMAN,5,4739.333496,4264.414551,705.8670654,827.6256714,37960.57813,13126.73535,2907.840332,2865.470703,23752.30859,29545.71289,12678.14746,3242.053467,24564.72656,4181.061523,19823.82422,21458.32227,1799.135498,3008.849609,1048.915039,1677.533203,2665.064697,7938.314941,2075.806885,1343.584351,937.1156006,940.1680908,2531.448242,2472.277588,1236.976685,2277.505127,928.7244263,869.7685547,958.2185059,1499.671509,6600.126953,15310.80176,5291.039551,20769.37891,1256.134888,1964.247681,1100.11499,1789.573242,978.5090332,1893.142212,5976.666992,2546.48877,1032.04895,2674.734375,1733.648071,1062.830566,1697.484375,4736.233398,840.3658447,1579.386475
P17936,IGFBP3,Insulin-like growth factor-binding protein 3,IBP3_HUMAN,3,2452.970947,3083.896973,460.5874939,1455.279785,3042.597168,2175.830566,5429.046875,9651.507813,10963.90527,10697.41504,6437.710449,1656.979736,2573.63623,2615.800049,7433.977051,7510.691406,8118.913574,7274.31543,2852.215576,3845.96167,7136.779297,1778.804077,3748.321045,8418.296875,631.7255859,806.8882446,17047.43945,8695.068359,9464.880859,28443.45703,2052.813721,4225.050293,6962.368164,3930.546875,4065.327148,4411.649902,2982.501953,19047.61719,3977.169434,5276.081543,1454.457886,5117.055664,976.8952026,2709.14917,8706.326172,14796.70703,1865.877319,3661.244629,2046.506226,4971.381348,5472.956543,11342.44629,2253,6488.198242
O96015,DNAL4,"Dynein light chain 4, axonemal",DNAL4_HUMAN,2,9006.75,19663.83594,1692.369629,972.9703369,18957.02344,21448.82617,11677.03613,13828.30957,21104.83398,20716.68555,1689.495972,2720.652588,11465.96387,2065.394287,8508.248047,15183.13379,9747.770508,18004.05469,1294.837524,6385.062988,490.2749939,2682.427979,4345.01416,7517.265137,1457.139893,588.3842163,5668.141113,7865.351563,1179.258179,4373.349609,1608.234497,3172.24292,1614.748169,763.6622925,2342.963623,2348.473633,1458.653931,5573.871582,8853.789063,10052.97949,1812.285034,2280.19873,1726.25,1436.71875,11075.25,9230.5625,5366.166992,7190.453125,2175.56665,977.3804321,9319.216797,10898.82129,1190.42334,1022.897278
O60235,TMPRSS11D,Transmembrane protease serine 11D,TM11D_HUMAN,5,9009.876953,923.1546631,9807.985352,2314.911133,3683.827393,7839.058594,6944.157227,5335.199219,3400.218018,6576.026855,514.9556274,4732.806641,9304.363281,5460.309082,770.4910889,2469.354492,766.7119751,2626.087891,6686.855957,1945.457031,3064.350342,16155.02148,5401.382324,1051.854004,27730.97852,24555.54883,8460.828125,2161.181885,1497.218262,4532.571289,512.7824707,581.0457153,3658.570313,4767.53125,7495.867676,402.0003357,3533.75708,4929.861328,1814.967651,2530.868896,4132.30957,13930.93262,14039.84961,5864.747559,1280.217529,1616.294678,2964.336426,4333.68457,29253.56055,12540.10059,8251.606445,14041.55176,1271.931763,1403.163208
Q9Y6W5,WASF2,Wiskott-Aldrich syndrome protein family member 2,WASF2_HUMAN,5,5520.286133,4680.797363,967.8651733,2434.662842,5367.55957,6874.624023,8317.705078,7856.331543,7029.917969,8508.761719,630.9069824,1290.539551,7255.327148,2386.494873,7629.816895,6652.203125,7082.816406,10175.07715,4241.752441,11673.16211,3064.358154,4742.187988,5435.294434,12263.02734,1353.048096,1913.352173,9018.380859,8904.270508,4266.861816,13625.69336,1948.339966,2913.821533,7460.128418,2292.012695,5480.043457,1853.449097,3358.859619,2848.411621,7996.206055,12093.04199,5937.526855,6175.350098,2798.898438,6915.024414,8921.939453,10634.9502,2776.091553,10045.16113,7094.911133,1987.575195,6815.365234,19018.32617,2693.870117,6636.254883
Q9UNZ2,NSFL1C,NSFL1 cofactor p47,NSF1C_HUMAN,8,6812.056152,7059.880859,1373.029419,2314.216553,4729.37207,14835.49805,10804.16211,13587.62109,9948.908203,15478.0293,4319.097656,3224.158203,7767.583984,3307.095703,7914.36084,6872.747559,7811.682129,6514.397949,3189.596436,11223.69043,3121.526367,5394.83252,6157.452148,8455.178711,2655.761963,2853.08252,6100.471191,5763.862305,4996.248535,10174.8457,1726.631836,2145.428223,8499.618164,2878.849854,3813.471436,1668.834106,2722.645264,7040.13623,3502.622314,6044.183594,3516.468262,5858.465332,3932.411377,6897.166504,9853.235352,8787.503906,4062.753662,7869.243164,9488.745117,4015.742432,5057.034668,15875.35645,1854.584595,4348.88916
P16930,FAH,Fumarylacetoacetase,FAAA_HUMAN,4,6405.373535,6750.206543,2907.145996,4550.234863,5419.294434,9153.526367,10912.84766,12067.69629,4705.850098,9083.904297,3213.690674,4135.027344,5047.892578,4619.473145,4877.796875,6315.824707,5480.362793,6129.391113,6625.59375,14970.20801,6466.314453,6175.881836,7054.826172,12312.2207,4366.681641,5936.149414,7147.495605,7040.399414,3051.788086,13701.02246,2317.606201,2057.731201,9983.362305,5517.569336,3880.197998,3057.307617,2621.842041,4216.65918,5230.484375,6136.575684,4548.470215,6448.418457,3814.148926,7827.407715,6718.223145,6785.784668,2096.130859,4531.208984,7942.836914,3639.353271,5102.147949,13707.45508,3056.287842,4196.011719
O94973,AP2A2,AP-2 complex subunit alpha-2,AP2A2_HUMAN,7,3861.818115,6903.961426,930.2316284,4068.770264,3125.509766,7998.818848,11412.97852,11664.61133,6090.196777,8669.442383,1593.888306,3895.588379,5844.870117,2366.157471,4120.349609,6134.022461,8305.508789,6420.625977,5904.23291,14344.74023,1737.454346,8375.558594,5317.898438,10015.11621,2925.520508,1847.571533,7138.835449,6912.062012,3603.597168,13430.3418,1360.380371,1543.325928,7864.203125,1566.989258,5071.362793,3649.756104,2648.727783,4718.727051,5000.649902,6103.562012,5834.411621,4281.41748,4553.876465,7039.723145,7756.650879,9985.307617,5048.856445,8833.311523,12111.39355,2418.106201,6956.409668,28076.80664,2460.826416,5335.320801
O75363,BCAS1,Breast carcinoma-amplified sequence 1,BCAS1_HUMAN,9,7241.450684,5835.125488,603.6716309,929.7868652,10250.89551,14028.87305,10484.73047,12258.02344,11518.73633,10099.07813,669.5391846,3051.428955,12155.00488,2061.686035,9176.772461,9129.192383,5070.166992,15229.31738,3241.678955,4374.886719,1144.921875,3260.518799,8880.44043,8891.081055,725.0371094,360.0869141,8586.626953,8635.625977,4409.339355,6630.60498,1728.112061,2004.26062,2180.674805,2452.148193,2628.624512,2680.97998,5516.972656,11352.0752,6833.902832,6789.740234,3979.966797,5552.594238,3226.503906,4942.957031,10839.47949,20830.58594,3518.32666,6698.36084,2093.822754,1907.571411,5510.422852,15179.4873,2429.955322,7252.28418
Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,4,3577.803223,4699.870117,1974.163574,2507.029785,3411.997803,9182.768555,14793.94629,8126.206543,5753.601563,15658.02832,7184.041504,2510.25293,11393.22363,3504.284424,6263.54834,7074.337891,8881.736328,4949.333496,4217.90625,18730.71875,4720.310547,10590.52734,4765.999023,14132.29492,6066.138672,1920.462402,9935.482422,9655.169922,4073.265381,9309.330078,1779.169678,1830.280762,10347.70508,2495.737061,4183.848633,3754.331299,2066.416016,2922.50415,3140.677979,3428.357422,2840.175781,4987.117188,1732.960449,7270.862793,6397.262695,9743.823242,3662.609863,5682.019531,15678.05078,1181.587036,4071.349609,12888.91016,2298.843018,1694.924194
P16083,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2_HUMAN,3,6346.245605,9898.133789,731.9371338,1450.177734,5531.615234,12607.61035,12194.08008,7172.259277,11256.56348,17146.3418,962.43396,1667.240967,7212.554199,4490.912598,9993.458008,10855.3916,13665.52148,6090.271484,5397.008301,4269.499023,10399.40723,11148.22949,4576.087891,9258.456055,2743.599365,6529.219238,8293.000977,5582.323242,1645.7323,5274.368164,7458.154297,7061.258301,9658.581055,4650.382813,1339.182373,2670.797119,642.3601074,1263.436035,3271.013672,3568.369385,6032.63623,13279.80371,2226.108643,6079.83252,4840.955566,6646.021973,2178.30835,5125.51416,10720.08496,2750.513428,2830.118896,5229.13916,4415.730469,5476.162598
Q5T0Z8,C6orf132,Uncharacterized protein C6orf132,CF132_HUMAN,10,3717.59082,3570.759033,1446.288818,1172.985474,8078.26709,7987.347656,14585.05469,7491.510254,10999.37988,11710.72754,882.59375,5447.572754,11527.21191,1706.207031,15483.19043,7726.72168,4487.729004,15661.64063,6027.263184,7129.591309,1574.528076,5134.460449,5672.854004,8314.708984,2028.178101,1413.821289,11265.53516,5231.268555,4169.052246,9406.458984,1068.674438,2161.255371,2177.351807,1721.366211,5494.910156,2362.150635,7400.727539,11056.05762,8780.233398,12415.17969,4625.505371,4807.402832,2514.508057,5395.394043,7796.559082,8152.510254,3435.56543,8786.469727,5821.443359,1935.19519,6692.425781,16690.47266,2326.154785,3754.465576
P54707,ATP12A,Potassium-transporting ATPase alpha chain 2,AT12A_HUMAN,10,4516.003906,6721.367188,1049.085205,1056.664673,2682.957764,8836.723633,13260.10156,9702.894531,2813.223389,3338.244141,1393.453247,4428.203613,10581.47168,1654.33606,3928.692139,2784.295654,11359.62598,8008.359375,5611.816406,4376.271484,1248.433716,2399.630127,12597.83594,11255.60352,1291.024536,596.6090088,17783.18555,4709.371094,17348.4043,26185.01367,9777.918945,7291.405273,4378.5,2737.570557,5237.379883,5951.140625,1650.524292,1604.30188,8145.350098,7757.254883,7483.283691,4506.12207,1088.390869,2508.873291,8470.654297,7321.819336,3300.945557,3584.115967,8140.680664,2679.648682,8489.740234,21921.07813,1207.073364,1950.2052
P50591,TNFSF10,Tumor necrosis factor ligand superfamily member 10,TNF10_HUMAN,7,2602.627686,4688.45166,2406.664063,2140.189941,2187.269531,5381.909668,13526.52246,6109.077148,6262.825195,6158.384766,2365.071777,3565.092529,6488.75,2417.992188,3481.570068,2719.157715,10655.42285,8628.222656,9386.723633,8616.882813,1211.31311,1065.060181,7354.932617,6335.665039,1952.928223,2111.507813,14363.39746,7754.775879,7300.966797,40896.37891,1786.086182,5461.709961,7353.989258,2181.79541,4270.193359,2356.536621,2847.519531,4723.804688,7154.489258,6497.311523,6551.839844,5168.263184,1650.555054,4566.660645,8348.580078,12420.37988,3719.041992,5759.268555,6941.509277,4606.262695,6113.420898,15599.87402,6243.770508,4254.568359
Q9Y5B8,NME7,Nucleoside diphosphate kinase 7,NDK7_HUMAN,9,6037.824707,12177.08984,667.9059448,1228.092529,8063.037109,18901.1875,17058.8418,17726.0918,12612.53809,14238.00586,1279.630493,3173.336914,11657.89551,1544.667725,5706.134277,8060.433105,7029.684082,11663.15918,3734.199951,9205.164063,1100.522095,2988.66748,6762.863281,6867.666504,889.2885742,605.5120239,7828.951172,8197.017578,2540.693848,7913.478027,1626.067749,1556.176758,2238.384277,1054.193848,2926.604492,2803.372559,2115.141357,4287.510742,7543.299805,7823.487305,3449.52417,2253.930664,2258.22876,5991.922363,12079.47168,11720.78125,6043.572266,7018.322266,3650.159912,2317.279785,8670.423828,14988.40918,2075.963867,2739.347412
Q9UGI8,TES,Testin,TES_HUMAN,8,4871.948242,5287.978027,1381.224365,1971.250854,4850.978027,9915.197266,10924.56445,11042.41504,8451.963867,18007.98438,1629.240112,3660.537109,10530.39258,2976.624512,7484.689453,8265.575195,5235.944824,7244.038086,3955.073486,8813.456055,4013.072754,7081.225098,6844.445801,11149.69141,2571.546631,2039.970093,9074.975586,8377.510742,4476.473633,13380.17969,1683.104248,1422.426392,9208.154297,3903.220947,3324.362305,1490.309692,3645.519531,5956.740234,5399.947754,7295.978516,5969.911621,5349.045898,2964.710693,5643.074219,9528.464844,10283.80273,2771.634033,5244.630859,6504.976563,1986.842529,4968.384277,12522.72852,2563.70166,6855.660645
